año,ncodi,totalcompra,producfarma,materialsani,implantes,restomateriasani,servcontratado,trabajocontratado,xrestocompras,variaexistencias,servexteriores,sumistro,xrestoserviexter,gastopersonal,sueldos,indemnizacion,segsocempresa,otrgassocial,dotaamortizacion,perdidadeterioro,xrestogasto,totcompragasto
2010,781.0,50822120,22859464,17653497,5861131.0,11792366.0,2324561.0,6608782.0,1375816.0,232060.0,5081020,1418491.0,3662529.0,116783817,92591293,216314.0,21129178,2847032.0,4434516.0,453641.0,15102.0,177822276
2010,779.0,22330129,5924056,10129239,2752023.0,7377216.0,1196503.0,2975068.0,2105263.0,67216.0,3800863,1306558.0,2494305.0,78543588,62060717,57614.0,15040184,1385073.0,2258595.0,349612.0,112035.0,107462038
2010,113.0,1688211,513590,58187,0.0,58187.0,5341.0,655594.0,455499.0,1705.0,690773,197062.0,493711.0,15782413,10980477,14687.0,4737752,49497.0,302214.0,0.0,17427.0,18482743
2010,619.0,4521423,807606,1424361,213451.0,1210910.0,1531060.0,441266.0,317130.0,14826.0,1154119,325865.0,828254.0,6016884,4628997,0.0,1240501,147386.0,838025.0,2937.0,187525.0,12735739
2010,163.0,2551372,236771,850206,0.0,850206.0,985561.0,247336.0,231498.0,0.0,574539,158661.0,415878.0,2323709,1795134,16672.0,455516,56387.0,581235.0,23910.0,354767.0,6409532
2010,131.0,260939,74503,36143,0.0,36143.0,0.0,24790.0,125503.0,4466.0,990156,68069.0,922087.0,2578703,1936678,0.0,641920,105.0,8953.0,0.0,0.0,3843217
2010,375.0,790215,146586,207783,0.0,207783.0,18407.0,91206.0,326233.0,19.0,132794,47557.0,85237.0,6884112,5300558,0.0,1473593,109961.0,253714.0,36073.0,1954.0,8098881
2010,764.0,92054940,33823945,28665719,10536854.0,18128865.0,16625327.0,10626507.0,2313442.0,0.0,6366444,2915872.0,3450572.0,193810298,159524357,72654.0,28906153,5307134.0,0.0,0.0,0.0,292231682
2010,14.0,1393404,252031,551874,0.0,551874.0,268814.0,125914.0,194771.0,1503.0,329850,128554.0,201296.0,1693169,1334794,0.0,349206,9169.0,185265.0,0.0,170244.0,3773435
2010,657.0,8480344,2256703,3207735,886609.0,2321126.0,547879.0,2055844.0,412183.0,0.0,1283962,656667.0,627295.0,29508631,24336812,34662.0,4495279,641878.0,683610.0,0.0,152.0,39956699
2010,362.0,8932012,995367,836134,567867.0,268267.0,2823681.0,221388.0,4055442.0,19672.0,1320597,164137.0,1156460.0,6986438,5487210,0.0,1399970,99258.0,685466.0,184597.0,25087.0,18153869
2010,989.0,6514487,2199011,1723734,544842.0,1178892.0,0.0,2331027.0,260715.0,0.0,1419550,757962.0,661588.0,14944009,12062697,0.0,2822950,58362.0,0.0,0.0,0.0,22878046
2010,990.0,8823818,2714504,2175421,612962.0,1562459.0,0.0,2559652.0,1374241.0,0.0,0,0.0,0.0,15914763,12149407,29167.0,3630590,105599.0,0.0,0.0,0.0,24738581
2010,680.0,124320358,51924054,44089915,16673859.0,27416056.0,12750173.0,11825354.0,3730862.0,-887378.0,8207769,4208744.0,3999025.0,169611756,136285454,0.0,32295724,1030578.0,0.0,0.0,36980.0,301289485
2010,411.0,15994423,2916123,3473964,154147.0,3319817.0,9070183.0,534153.0,,-865.0,2213740,405083.0,1808657.0,11354687,9048050,53513.0,2234801,18323.0,1072719.0,80006.0,535826.0,31250536
2010,241.0,11665864,1482619,2874061,443715.0,2430346.0,5086981.0,1891492.0,330711.0,-72533.0,1471264,496696.0,974568.0,8377418,6551365,16914.0,1785306,23833.0,1049653.0,127879.0,785765.0,23405310
2010,558.0,36560439,12328744,4894147,995168.0,3898979.0,8665372.0,3467016.0,7205160.0,0.0,889469,0.0,889469.0,52614797,42704501,92501.0,9664153,153642.0,0.0,0.0,0.0,90064705
2010,167.0,944869,95656,147359,,147359.0,632425.0,,69429.0,42300.0,419574,42193.0,377381.0,466890,382331,,84559,,99901.0,,81077.0,2054611
2010,224.0,3033478,453093,747090,96877.0,650213.0,1605620.0,77207.0,150468.0,-8150.0,686830,127070.0,559760.0,2979530,2334738,0.0,635474,9318.0,355069.0,9931.0,196577.0,7253265
2010,591.0,63533972,31081505,19156752,5694048.0,13462704.0,5247464.0,6859845.0,1188406.0,0.0,5474549,2240510.0,3234039.0,86874540,69438697,219538.0,17041769,174536.0,0.0,0.0,148699.0,156031760
2010,586.0,51041158,22788378,8819905,2764663.0,6055242.0,10925559.0,7082067.0,1425249.0,0.0,6254949,1649682.0,4605267.0,97288686,66544436,11949050.0,18795200,0.0,0.0,0.0,0.0,154584793
