particulares,aseguradoras,aseguradoras_enfermedad,aseguradoreas_trafico,mutuas,año,ncodi,tipo_hospitalizacion
0.0,0.0,0.0,0.0,0.0,2020,113.0,hospdia
0.0,0.0,0.0,0.0,0.0,2020,619.0,hospdia
0.0,0.0,0.0,0.0,0.0,2020,163.0,hospdia
0.0,0.0,0.0,0.0,0.0,2020,131.0,hospdia
0.0,0.0,0.0,0.0,0.0,2020,375.0,hospdia
0.0,0.0,0.0,0.0,0.0,2020,1090.0,hospdia
0.0,5200.0,5200.0,0.0,0.0,2020,764.0,hospdia
0.0,0.0,0.0,0.0,0.0,2020,14.0,hospdia
0.0,0.0,0.0,0.0,0.0,2020,657.0,hospdia
0.0,0.0,0.0,0.0,0.0,2020,362.0,hospdia
0.0,0.0,0.0,0.0,0.0,2020,989.0,hospdia
0.0,0.0,0.0,0.0,0.0,2020,990.0,hospdia
88274.0,0.0,0.0,0.0,0.0,2020,680.0,hospdia
22092.0,2934240.0,2934240.0,0.0,0.0,2020,411.0,hospdia
22739.0,1046522.0,1046522.0,0.0,0.0,2020,241.0,hospdia
9172.0,0.0,0.0,0.0,0.0,2020,558.0,hospdia
0.0,0.0,0.0,0.0,0.0,2020,248.0,hospdia
6431.0,182905.0,182905.0,0.0,24668.0,2020,224.0,hospdia
0.0,0.0,0.0,0.0,0.0,2020,591.0,hospdia
0.0,0.0,0.0,0.0,0.0,2020,586.0,hospdia
0.0,0.0,0.0,0.0,0.0,2020,453.0,hospdia
0.0,0.0,0.0,0.0,0.0,2020,145.0,hospdia
4330.0,0.0,0.0,0.0,0.0,2020,511.0,hospdia
0.0,0.0,0.0,0.0,0.0,2020,530.0,hospdia
22739.0,1046522.0,1046522.0,0.0,0.0,2020,6.0,hospdia
0.0,0.0,0.0,0.0,0.0,2020,161.0,hospdia
0.0,0.0,0.0,0.0,0.0,2020,623.0,hospdia
924127.0,404655.0,404655.0,0.0,0.0,2020,875.0,hospdia
0.0,0.0,0.0,0.0,0.0,2020,946.0,hospdia
0.0,0.0,0.0,0.0,0.0,2020,1023.0,hospdia
18332.0,34615.0,34615.0,0.0,0.0,2020,1054.0,hospdia
0.0,0.0,0.0,0.0,0.0,2020,1057.0,hospdia
0.0,0.0,0.0,0.0,0.0,2020,1031.0,hospdia
0.0,0.0,0.0,0.0,0.0,2020,1032.0,hospdia
0.0,0.0,0.0,0.0,0.0,2020,1064.0,hospdia
0.0,0.0,0.0,0.0,0.0,2020,226.0,hospdia
0.0,0.0,0.0,0.0,0.0,2020,687.0,hospdia
,0.0,,,,2020,745.0,hospdia
41599.0,644836.0,625112.0,19724.0,0.0,2020,109.0,hospdia
,0.0,,,,2020,808.0,hospdia
,0.0,,,,2020,971.0,hospdia
0.0,0.0,0.0,0.0,0.0,2020,128.0,hospdia
0.0,0.0,0.0,0.0,0.0,2020,919.0,hospdia
0.0,0.0,0.0,0.0,0.0,2020,1150.0,hospdia
0.0,7335.0,7335.0,0.0,0.0,2020,725.0,hospdia
0.0,0.0,0.0,0.0,0.0,2020,3.0,hospdia
0.0,0.0,0.0,0.0,0.0,2020,306.0,hospdia
0.0,0.0,0.0,0.0,0.0,2020,15.0,hospdia
0.0,0.0,0.0,0.0,0.0,2020,264.0,hospdia
0.0,0.0,0.0,0.0,0.0,2020,867.0,hospdia
0.0,34198.0,34198.0,0.0,0.0,2020,910.0,hospdia
0.0,0.0,0.0,0.0,0.0,2020,1053.0,hospdia
16922.0,0.0,0.0,0.0,0.0,2020,1055.0,hospdia
0.0,0.0,0.0,0.0,0.0,2020,1081.0,hospdia
0.0,0.0,0.0,0.0,0.0,2020,1115.0,hospdia
0.0,0.0,0.0,0.0,0.0,2020,529.0,hospdia
0.0,0.0,0.0,0.0,0.0,2020,345.0,hospdia
0.0,0.0,0.0,0.0,0.0,2020,515.0,hospdia
0.0,0.0,0.0,0.0,0.0,2020,174.0,hospdia
0.0,0.0,0.0,0.0,0.0,2020,523.0,hospdia
21803.0,0.0,0.0,0.0,0.0,2020,697.0,hospdia
0.0,0.0,0.0,0.0,0.0,2020,239.0,hospdia
0.0,0.0,0.0,0.0,0.0,2020,287.0,hospdia
0.0,0.0,0.0,0.0,0.0,2020,377.0,hospdia
0.0,0.0,0.0,0.0,0.0,2020,692.0,hospdia
0.0,0.0,0.0,0.0,0.0,2020,435.0,hospdia
0.0,0.0,0.0,0.0,0.0,2020,423.0,hospdia
0.0,0.0,0.0,0.0,0.0,2020,351.0,hospdia
0.0,0.0,0.0,0.0,0.0,2020,810.0,hospdia
608.0,2124.0,2124.0,0.0,0.0,2020,830.0,hospdia
0.0,0.0,0.0,0.0,0.0,2020,892.0,hospdia
1257.0,141000.0,141000.0,,,2020,921.0,hospdia
0.0,0.0,0.0,0.0,0.0,2020,991.0,hospdia
0.0,0.0,0.0,0.0,0.0,2020,992.0,hospdia
0.0,0.0,0.0,0.0,0.0,2020,993.0,hospdia
28321.0,22567.0,22567.0,0.0,0.0,2020,1070.0,hospdia
0.0,0.0,0.0,0.0,0.0,2020,1095.0,hospdia
0.0,0.0,0.0,0.0,0.0,2020,1094.0,hospdia
0.0,0.0,0.0,0.0,0.0,2020,1124.0,hospdia
0.0,1.0,1.0,0.0,0.0,2020,473.0,hospdia
58190.0,276.0,270.0,6.0,0.0,2020,663.0,hospdia
0.0,0.0,0.0,0.0,0.0,2020,552.0,hospdia
0.0,0.0,0.0,0.0,0.0,2020,772.0,hospdia
0.0,0.0,0.0,0.0,0.0,2020,568.0,hospdia
0.0,0.0,0.0,0.0,0.0,2020,398.0,hospdia
